No,CardNumber,UserName,TransactionDate,MerchantName,SupplyAmount,VAT,TransactionAmount,UsageType,MerchantRepresentativeName,MerchantAddress,BusinessRegistrationNumber,ApprovalNumber,TaxType,SlipType,USDAmount,USDExchangeRate,ApprovalTime,MerchantIndustryName,FuelType,PriceperLiter,EntryType
1,9410-56**-****-2290,박도윤,2026-04-01,알파문구,53279,5328,58607,사무용품,임동혁,서울 종로구 세종대로 36,968-25-49363,78064830,과세,매입전표,0,0,12:23:27,문구/사무용품,,,승인
2,9410-22**-****-6634,윤소율,2026-04-03,북경각,17252,1725,18977,식대,최은정,서울 종로구 세종대로 125,170-80-37152,88703005,과세,매입전표,0,0,08:50:21,중식,,,승인
3,9410-44**-****-9902,임재현,2026-04-03,카카오T 택시,27395,2740,30135,교통비,윤보라,서울 서초구 강남대로 110,296-38-28030,30796389,과세,매입전표,0,0,14:19:11,택시운송,,,승인
4,9410-34**-****-7812,이서연,2026-04-04,코엑스 주차장,5274,527,5801,주차비,정민호,인천 중구 공항로 143,459-92-76768,63643924,과세,매입전표,0,0,12:25:21,주차장,,,승인
5,9410-56**-****-2290,박도윤,2026-04-04,카카오T 택시,15816,1582,17398,교통비,권태우,서울 성남시 분당구 판교역로 208,230-89-80008,13619375,과세,매입전표,0,0,17:21:42,택시운송,,,승인
6,9410-12**-****-3456,김민준,2026-04-05,크린토피아 삼성점,10168,1017,11185,사무용품,권태우,서울 강남구 학동로 426 인근 14길 19,835-50-37869,97971488,과세,매입전표,0,0,21:25:17,세탁/생활편의,,,승인
7,9410-12**-****-3456,김민준,2026-04-06,GS25 학동로점,15403,1540,16943,다과비,정민호,서울 강남구 학동로 426 인근 6길 18,949-90-91070,58537831,과세,매입전표,0,0,12:07:59,편의점,,,승인
8,9410-56**-****-2290,박도윤,2026-04-06,이디야커피,19423,1942,21365,다과비,임동혁,서울 종로구 세종대로 38,689-34-60328,76354180,과세,매입전표,0,0,12:30:39,커피전문점,,,승인
9,9410-44**-****-9902,임재현,2026-04-06,차이나가든,43345,4334,47679,식대,이철수,서울 서초구 강남대로 225,472-57-47079,61998170,과세,매입전표,0,0,12:45:28,중식,,,승인
10,9410-44**-****-9902,임재현,2026-04-06,오피스디포,34672,3467,38139,사무용품,윤보라,서울 중구 을지로 293,613-29-18109,70468188,과세,매입전표,0,0,18:58:51,문구/사무용품,,,승인
11,9410-12**-****-3456,김민준,2026-04-07,이마트 삼성점,130666,13067,143733,사무용품,조현우,서울 강남구 학동로 426 인근 39길 3,490-86-71348,81016525,과세,매입전표,0,0,20:40:10,대형마트/슈퍼,,,승인
12,9410-22**-****-6634,윤소율,2026-04-11,차이나가든,17270,1727,18997,식대,임동혁,서울 서초구 강남대로 34,699-80-52622,61124122,과세,매입전표,0,0,14:38:09,중식,,,승인
13,9410-11**-****-8890,강태윤,2026-04-11,신라스테이,249617,24962,274579,숙박비,임동혁,서울 영등포구 국제금융로 274,835-72-80912,14818295,과세,매입전표,0,0,14:54:43,호텔/숙박,,,승인
14,9410-56**-****-2290,박도윤,2026-04-11,오피스디포,16826,1683,18509,사무용품,강수진,인천 중구 공항로 277,329-93-18993,97477029,과세,매입전표,0,0,18:01:47,문구/사무용품,,,승인
15,9410-12**-****-3456,김민준,2026-04-11,스타벅스,29594,2959,32553,다과비,임동혁,서울 종로구 세종대로 273,586-80-31643,45575298,과세,매입전표,0,0,18:52:04,커피전문점,,,승인
16,9410-22**-****-6634,윤소율,2026-04-12,교보문고,54681,5468,60149,사무용품,정민호,서울 종로구 세종대로 233,838-51-84395,90023800,과세,매입전표,0,0,12:24:26,문구/사무용품,,,승인
